"lx","ly","h","phi","Amplitude","Phase"
0.133,0.233,0.362,60,0.567902,1.7495
0.229,0.256,0.3,60,0.11352,1.4645
0.197,0.274,0.474,60,0.367995,2.0474
0.146,0.287,0.423,60,0.639424,1.68935469282041
0.185,0.218,0.397,60,0.16298,1.56431469282041
0.287,0.208,0.377,60,-0.0975199999999999,1.7823
0.069,0.2,0.372,60,0.69521,1.2307
0.3,0.279,0.351,60,-0.009172,0.8452
0.242,0.249,0.428,60,0.00798000000000001,0.3399
0.165,0.21,0.454,60,0.23107,2.4186
0.268,0.238,0.387,60,-0.04867,0.730414692820414
0.153,0.267,0.356,75,0.684919,1.8768
0.063,0.213,0.444,75,0.899891,1.47848530717959
0.076,0.282,0.346,75,0.909014,1.4798
0.281,0.295,0.418,75,0.07437,0.6549
0.21,0.223,0.495,75,0.092281,2.3405
0.274,0.236,0.469,75,-0.00247999999999998,1.3958
0.204,0.297,0.382,75,0.492151,1.94594969282041
0.236,0.29,0.31,75,0.32797,2.0442
0.249,0.215,0.433,75,0.00241,1.39
0.172,0.241,0.438,75,0.47838,2.1345
0.127,0.231,0.49,75,0.7053968,1.9161
0.191,0.259,0.408,75,0.425834,1.75091469282041
0.082,0.262,0.392,75,0.899295,1.50992469282041
0.255,0.272,0.449,75,0.09528,0.6522
0.108,0.228,0.413,75,0.855584,1.63041469282041
0.159,0.3,0.315,75,0.821842,1.8013
0.121,0.254,0.459,75,0.863603,1.6422
0.294,0.244,0.336,75,0.02527,1.6983
0.114,0.277,0.305,75,0.900417,1.4927
0.14,0.205,0.326,75,0.50739,1.8399
0.262,0.203,0.479,75,0.083486,1.9999
0.223,0.221,0.321,75,0.00129000000000001,0.236499999999999
0.217,0.264,0.367,75,0.25837,1.3295
0.05,0.292,0.403,75,0.890466,1.47163530717959
0.095,0.246,0.331,75,0.880173,1.568
0.088,0.269,0.5,75,0.88465,1.2531
0.056,0.226,0.341,75,0.903956,1.4077
0.101,0.285,0.464,75,0.8806818,1.44871369282041
0.178,0.251,0.485,75,0.48096,2.2918
0.133,0.233,0.362,75,0.707815,1.7648
0.229,0.256,0.3,75,0.18126,1.582
0.197,0.274,0.474,75,0.480989,2.0765
0.146,0.287,0.423,75,0.781513,1.66400469282041
0.185,0.218,0.397,75,0.23493,1.69101469282041
0.287,0.208,0.377,75,-0.10043,1.68821469282041
0.069,0.2,0.372,75,0.876405,1.2833
